t,aerospike,bell
3.41,472.8896187,452.1359396
3.42,475.6886439,454.8126314
3.43,478.4960501,457.4973451
3.44,481.3118381,460.1900816
3.45,484.1360088,462.8908417
3.46,486.9685632,465.5996262
3.47,489.8095021,468.316436
3.48,492.6588265,471.0412718
3.49,495.5165375,473.7741347
3.5,498.3826358,476.5150254
3.51,501.2571226,479.2639447
3.52,504.1399987,482.0208937
3.53,507.0312652,484.7858731
3.54,509.9309229,487.5588838
3.55,512.8389729,490.3399267
3.56,515.7554161,493.1290026
3.57,518.6802535,495.9261126
3.58,521.6134861,498.7312573
3.59,524.5551148,501.5444376
3.6,527.5051409,504.3656545
3.61,530.4635652,507.1949088
3.62,533.430389,510.0322014
3.63,536.4056132,512.8775333
3.64,539.389239,515.7309054
3.65,542.3812672,518.5923187
3.66,545.3816992,521.461774
3.67,548.3905358,524.3392725
3.68,551.4077781,527.2248149
3.69,554.4334273,530.1184022
3.7,557.4674845,533.0200354
3.71,560.5099509,535.9297155
3.72,563.5608275,538.8474432
3.73,566.6201157,541.7732197
3.74,569.6878165,544.707046
3.75,572.7639311,547.648923
3.76,575.8484608,550.5988518
3.77,578.9414067,553.5568334
3.78,582.0427699,556.5228689
3.79,585.1525517,559.4969593
3.8,588.2707533,562.4791057
3.81,591.3973758,565.469309
3.82,594.5324205,568.4675704
3.83,597.6758886,571.4738908
3.84,600.8277813,574.4882713
3.85,603.9880998,577.5107131
3.86,607.1568453,580.5412171
3.87,610.3340191,583.5797845
3.88,613.5196223,586.6264166
3.89,616.7136563,589.6811144
3.9,619.9161222,592.743879
3.91,623.1270213,595.8147118
3.92,626.3463508,598.8936136
3.93,629.574103,601.9805859
3.94,632.81027,605.0756296
3.95,636.0548436,608.178746
3.96,639.3078156,611.2899362
3.97,642.5691775,614.4092014
3.98,645.838921,617.5365428
3.99,649.1170376,620.6719615
4,652.4035186,623.8154587
4.01,655.6983554,626.9670357
4.02,659.0015391,630.1266936
4.03,662.3130618,633.2944337
4.04,665.6329166,636.470257
4.05,668.9610971,639.6541649
4.06,672.2975972,642.8461585
4.07,675.6424105,646.046239
4.08,678.9955304,649.254407
4.09,682.3569504,652.4706585
4.1,685.726664,655.6949859
4.11,689.1046645,658.9273813
4.12,692.4909453,662.1678368
4.13,695.8854995,665.4163445
4.14,699.2883207,668.6728963
4.15,702.6994058,671.9374841
4.16,706.1187548,675.2100997
4.17,709.5463673,678.4907347
4.18,712.9822432,681.7793809
4.19,716.4263823,685.0760298
4.2,719.8787844,688.3806732
4.21,723.3394493,691.6933045
4.22,726.8083767,695.0139176
4.23,730.2855666,698.3425064
4.24,733.7710186,701.6790648
4.25,737.2647326,705.0235866
4.26,740.7667085,708.3760655
4.27,744.2769461,711.7364953
4.28,747.7954457,715.1048695
4.29,751.3222073,718.4811817
