x,y,s,p,T,M,A,a,V,rho
2.301418806866244345e-04,3.183024157248948854e-02,5.329026553020222009e-04,1.879922083838050995e+01,2.525530361811806415e+03,1.020465086652824205e+00,5.311689330881810963e-04,3.440752446456520488e+02,3.511167743424169885e+02,2.069614053505488993e+00
2.313549781612759572e-04,3.182771834702317892e-02,5.357023467558862540e-04,1.879485838700558276e+01,2.525419102663327067e+03,1.020671804699822438e+00,5.311729182451030038e-04,3.440676656553275166e+02,3.511801652432782248e+02,2.069224946588301250e+00
2.325628315956651190e-04,3.182520625076411952e-02,5.384897357731829003e-04,1.879049625681347990e+01,2.525307830784417092e+03,1.020878522746820671e+00,5.311769429034555751e-04,3.440600856308246875e+02,3.512435519549409264e+02,2.068835851176392904e+00
2.337655231927919693e-04,3.182270511201659019e-02,5.412650127165152076e-04,1.878613444815031031e+01,2.525196546179737197e+03,1.021085240793818905e+00,5.311810070527594541e-04,3.440525045723927633e+02,3.513069344770181601e+02,2.068446767299690237e+00
2.349631331349582783e-04,3.182021476330908205e-02,5.440283632658597787e-04,1.878177296136198748e+01,2.525085248853948542e+03,1.021291958840817138e+00,5.311851106825487287e-04,3.440449224802808317e+02,3.513703128091231065e+02,2.068057694988107986e+00
2.361557396524599853e-04,3.181773504125066931e-02,5.467799685777760934e-04,1.877741179679429351e+01,2.524973938811711832e+03,1.021498676887815371e+00,5.311892537823711480e-04,3.440373393547380942e+02,3.514336869508692871e+02,2.067668634271552452e+00
2.373434190893323505e-04,3.181526578639360531e-02,5.495200054377295416e-04,1.877305095479276531e+01,2.524862616057687774e+03,1.021705394934813604e+00,5.311934363417887724e-04,3.440297551960137525e+02,3.514970569018704509e+02,2.067279585179913948e+00
2.385262459662432222e-04,3.181280684310178880e-02,5.522486464058878842e-04,1.876869043570281903e+01,2.524751280596537072e+03,1.021912112981811838e+00,5.311976583503754800e-04,3.440221700043570650e+02,3.515604226617406312e+02,2.066890547743076567e+00
2.397042930407555957e-04,3.181035805942481615e-02,5.549660599567437244e-04,1.876433023986961857e+01,2.524639932432919522e+03,1.022118831028810071e+00,5.312019197977214122e-04,3.440145837800171194e+02,3.516237842300937473e+02,2.066501521990906642e+00
2.408776313650531388e-04,3.180791928697735554e-02,5.576724106128410881e-04,1.875997036763823544e+01,2.524528571571496286e+03,1.022325549075808304e+00,5.312062206734277691e-04,3.440069965232431173e+02,3.516871416065441736e+02,2.066112507953266952e+00
