        p           t         gam         rho          mw
   2.6200E+01  3.3076E+03  1.1525E+00  2.4964E+00  2.6204E+01
   1.5030E+01  3.1084E+03  1.1533E+00  1.5414E+00  2.6505E+01
   2.6889E+01  3.3101E+03  1.1527E+00  2.5607E+00  2.6209E+01
   1.5425E+01  3.1104E+03  1.1535E+00  1.5812E+00  2.6510E+01
   2.7579E+01  3.3126E+03  1.1529E+00  2.6249E+00  2.6215E+01
   1.5819E+01  3.1123E+03  1.1538E+00  1.6208E+00  2.6514E+01
   2.1374E+01  3.2938E+03  1.1486E+00  2.0558E+00  2.6341E+01
   1.2287E+01  3.1038E+03  1.1477E+00  1.2692E+00  2.6658E+01
   2.2063E+01  3.2970E+03  1.1488E+00  2.1206E+00  2.6348E+01
   1.2682E+01  3.1064E+03  1.1480E+00  1.3092E+00  2.6664E+01
   2.2753E+01  3.3001E+03  1.1490E+00  2.1854E+00  2.6354E+01
   1.3077E+01  3.1089E+03  1.1482E+00  1.3492E+00  2.6670E+01
   2.3442E+01  3.3031E+03  1.1492E+00  2.2501E+00  2.6361E+01
   1.3472E+01  3.1113E+03  1.1485E+00  1.3892E+00  2.6676E+01
   2.4132E+01  3.3060E+03  1.1495E+00  2.3148E+00  2.6367E+01
   1.3867E+01  3.1137E+03  1.1487E+00  1.4292E+00  2.6681E+01
   2.4821E+01  3.3088E+03  1.1497E+00  2.3794E+00  2.6373E+01
   1.4262E+01  3.1160E+03  1.1489E+00  1.4691E+00  2.6687E+01
   2.5511E+01  3.3116E+03  1.1498E+00  2.4440E+00  2.6379E+01
   1.4657E+01  3.1182E+03  1.1492E+00  1.5090E+00  2.6692E+01
   2.6200E+01  3.3142E+03  1.1500E+00  2.5086E+00  2.6385E+01
   1.5052E+01  3.1203E+03  1.1494E+00  1.5489E+00  2.6697E+01
   2.6889E+01  3.3168E+03  1.1502E+00  2.5732E+00  2.6390E+01
   1.5447E+01  3.1224E+03  1.1496E+00  1.5888E+00  2.6702E+01
   2.7579E+01  3.3194E+03  1.1504E+00  2.6377E+00  2.6396E+01
   1.5842E+01  3.1244E+03  1.1498E+00  1.6286E+00  2.6707E+01
   2.1374E+01  3.2968E+03  1.1469E+00  2.0668E+00  2.6506E+01
   1.2299E+01  3.1107E+03  1.1450E+00  1.2759E+00  2.6831E+01
   2.2063E+01  3.3001E+03  1.1471E+00  2.1319E+00  2.6513E+01
   1.2695E+01  3.1133E+03  1.1452E+00  1.3161E+00  2.6837E+01
   2.2753E+01  3.3032E+03  1.1473E+00  2.1970E+00  2.6520E+01
   1.3090E+01  3.1159E+03  1.1455E+00  1.3563E+00  2.6843E+01
   2.3442E+01  3.3063E+03  1.1475E+00  2.2620E+00  2.6526E+01
   1.3486E+01  3.1184E+03  1.1457E+00  1.3965E+00  2.6849E+01
   2.4132E+01  3.3093E+03  1.1477E+00  2.3270E+00  2.6533E+01
   1.3881E+01  3.1209E+03  1.1459E+00  1.4366E+00  2.6855E+01
   2.4821E+01  3.3121E+03  1.1478E+00  2.3920E+00  2.6539E+01
   1.4277E+01  3.1232E+03  1.1461E+00  1.4768E+00  2.6861E+01
   2.5511E+01  3.3149E+03  1.1480E+00  2.4569E+00  2.6545E+01
