x,y,M,mu,V,theta,T,p,a,rho
2.627428296840381931e-03,-5.365502881536642066e-02,1.726322802440587223e+00,6.178278676302841887e-01,5.437756621356946880e+02,8.636650796737517233e-01,2.092498713122623485e+03,6.399985276297858218e+05,3.149907197929219365e+02,9.441584518029818573e-01
2.671871891732188233e-03,-5.364387736611710145e-02,1.745029245631335435e+00,6.102304079863688502e-01,5.481117498582586904e+02,8.525691832961901362e-01,2.080666555373913070e+03,6.213339248271464603e+05,3.140988904515218678e+02,9.218360548231637752e-01
2.716441343338898539e-03,-5.363285993305477034e-02,1.763721150977124452e+00,6.028386707987878346e-01,5.524076921521797203e+02,8.414838272286314647e-01,2.068851270683016992e+03,6.031375124915990746e+05,3.132057989133593310e+02,8.999495827574164331e-01
2.761159912368251704e-03,-5.362198074602226444e-02,1.782399428211796311e+00,5.956434041416459602e-01,5.566639124912807119e+02,8.304112147210297445e-01,2.057054266831357836e+03,5.854014922083183192e+05,3.123115412182090722e+02,8.784947816930684938e-01
2.806049621820551343e-03,-5.361124410531015877e-02,1.801064928347011707e+00,5.886359587405420868e-01,5.608808195328981583e+02,8.193534420737348389e-01,2.045276933273614986e+03,5.681180102367363870e+05,3.114162130999161491e+02,8.574672601963000407e-01
2.851131372100891136e-03,-5.360065438830001472e-02,1.819718448554375811e+00,5.818082359141832915e-01,5.650588085953295376e+02,8.083125028743650686e-01,2.033520639348294253e+03,5.512791657817956293e+05,3.105199098488146205e+02,8.368624951244060250e-01
2.896425043155161083e-03,-5.359021605493220763e-02,1.838360736621402092e+00,5.751526410958541780e-01,5.691982629859627423e+02,7.972902922067747200e-01,2.021786732677969439e+03,5.348770194602104602e+05,3.096227261859679629e+02,8.166758378934378948e-01
2.941949585338209886e-03,-5.357993365220315579e-02,1.856992495018208178e+00,5.686620422273074293e-01,5.732995551941735357e+02,7.862886107919897505e-01,2.010076537747194834e+03,5.189036018794383854e+05,3.087247561485444862e+02,7.969025211193451197e-01
2.987723100466321315e-03,-5.356981181785978874e-02,1.875614384609361585e+00,5.623297324202186642e-01,5.773630479619487232e+02,7.753091690322813090e-01,1.998391354646094442e+03,5.033509222552219871e+05,3.078260929856311918e+02,7.775376655567906026e-01
3.033762914292908921e-03,-5.355985528342887408e-02,1.894227028042754668e+00,5.561493963663164397e-01,5.813890952440921183e+02,7.643535909382235261e-01,1.986732457967850451e+03,4.882109770015949616e+05,3.069268290637913879e+02,7.585762872660400946e-01
3.080085641468015192e-03,-5.355006887669477161e-02,1.912831012844829148e+00,5.501150800496017457e-01,5.853780430688165097e+02,7.534234179252163877e-01,1.975101095848759314e+03,4.734757582350492012e+05,3.060270557816928658e+02,7.400133049445992706e-01
3.126707243892707516e-03,-5.354045752371917877e-02,1.931426894249026249e+00,5.442211633750992927e-01,5.893302303085354197e+02,7.425201124710323342e-01,1.963498489140022002e+03,4.591372621419068892e+05,3.051268634931573729e+02,7.218435473663250557e-01
3.173643083253379314e-03,-5.353102625048034025e-02,1.950015197781982179e+00,5.384623353802763246e-01,5.932459893697429152e+02,7.316450616297979215e-01,1.951925830701041150e+03,4.451874971648667124e+05,3.042263414380166751e+02,7.040617608765888935e-01
3.220907968414519866e-03,-5.352178018419626038e-02,1.968596421629791315e+00,5.328335717391899928e-01,5.971256468100190204e+02,7.207995804007332197e-01,1.940384284804608569e+03,4.316184919710849063e+05,3.033255776801939305e+02,6.866626168975719091e-01
3.268516198258200611e-03,-5.351272455438502856e-02,1.987171038804609324e+00,5.273301143068636065e-01,6.009695238894198610e+02,7.099849149521476610e-01,1.928874986644983665e+03,4.184223031700249994e+05,3.024246590524666090e+02,6.696407194029291299e-01
3.316481600481628860e-03,-5.350386469370711079e-02,2.005739499129980619e+00,5.219474524834145646e-01,6.047779370627952176e+02,6.992022457027943227e-01,1.917399041940494726e+03,4.055910227547007380e+05,3.015236711074028335e+02,6.529906123258826245e-01
3.364817566798601091e-03,-5.349520603862645274e-02,2.024302231061544610e+00,5.166813062049042671e-01,6.085511984189371333e+02,6.884526902638509194e-01,1.905957526622870091e+03,3.931167852447827463e+05,3.006226980739989472e+02,6.367067868692111166e-01
3.413537084934369342e-03,-5.348675412992164729e-02,2.042859643358184485e+00,5.115276103914989658e-01,6.122896160718710235e+02,6.777373062456258923e-01,1.894551486606088929e+03,3.809917745144591318e+05,2.997218228195795291e+02,6.207836886897047934e-01
3.462652767755384532e-03,-5.347851461307301379e-02,2.061412126617257368e+00,5.064825007038867843e-01,6.159934945090790279e+02,6.670570939336331051e-01,1.883181937628062769e+03,3.692082302918792120e+05,2.988211268165546812e+02,6.052157249333770528e-01
3.512176879833654383e-03,-5.347049323854734248e-02,2.079960054686236681e+00,5.015423004765067194e-01,6.196631349009645646e+02,6.564129988390492443e-01,1.871849865158966168e+03,3.577584543205423397e+05,2.979206901136575993e+02,5.899972711011272075e-01
3.562121361709752552e-03,-5.346269586199852569e-02,2.098503785961885804e+00,4.967035087114116676e-01,6.232988353754391255e+02,6.458059141287677551e-01,1.860556224370522841e+03,3.466348161761752563e+05,2.970205913113181850e+02,5.751226777276968738e-01
3.612497852087343062e-03,-5.345512844439947314e-02,2.117043664587078489e+00,4.919627890298413075e-01,6.269008912611303685e+02,6.352366829403384152e-01,1.849301940160944241e+03,3.358297587353746640e+05,2.961209075408489753e+02,5.605862768594999102e-01
3.663317708165209768e-03,-5.344779705211796794e-02,2.135580021554336128e+00,4.873169594901536339e-01,6.304695953023549464e+02,6.247061005870898631e-01,1.838087907230680685e+03,3.253358032948272885e+05,2.952217144471511574e+02,5.463823883195514375e-01
3.714592024289260341e-03,-5.344070785694748221e-02,2.154113175724354345e+00,4.827629831908404334e-01,6.340052378486994940e+02,6.142149166586555742e-01,1.826914990204462583e+03,3.151455543420217000e+05,2.943230861746645814e+02,5.325053257499388071e-01
3.766331649086640272e-03,-5.343386713610181332e-02,2.172643434766958759e+00,4.782979595861915345e-01,6.375081070217618162e+02,6.037638370220032025e-01,1.815784023795495614e+03,3.052517039803038351e+05,2.934250953563127950e+02,5.189494024244205583e-01
3.818547201226080330e-03,-5.342728127218129147e-02,2.191171096031247156e+00,4.739191164499201858e-01,6.409784888613611429e+02,5.933535257279229924e-01,1.804695813007961306e+03,2.956470360127377207e+05,2.925278131052074286e+02,5.057089368255548445e-01
3.871249083933041724e-03,-5.342095675311687303e-02,2.209696447351026993e+00,4.696238024288680868e-01,6.444166674532946217e+02,5.829846068277474425e-01,1.793651133374292840e+03,2.863244296906734817e+05,2.916313090088993931e+02,4.927782579824751541e-01
3.924447498374459067e-03,-5.341490017209755276e-02,2.228219767791095318e+00,4.654094801349099031e-01,6.478229250405173616e+02,5.726576661048883299e-01,1.782650731223941193e+03,2.772768631341139553e+05,2.907356511259770286e+02,4.801517105668908214e-01
3.978152456015756830e-03,-5.340911822748554277e-02,2.246741328339374455e+00,4.612737197284710877e-01,6.511975421194393903e+02,5.623732527255724811e-01,1.771695323980608691e+03,2.684974164320101263e+05,2.898409059848276570e+02,4.678236597462486768e-01
